deity,domain
Skaði,Archery
Skaði,Winter
Skaði,Cold
Skaði,Mountains
Skaði,Skiing
Njörðr,Sea
Njörðr,Seafaring
Njörðr,Wind
Njörðr,Fishing
Njörðr,Wealth
Njörðr,Fertility (crops)
Njörðr,Fishing
Njörðr,Wealth
Móði,Strength
Magni,Strength
Þrúðr,Afterlife
Þrúðr,Battle
Þrúðr,Alcohol
Þrúðr,Ale
Gerðr,Winter
Gerðr,Light
Freyr,Prosperity
Freyr,Sun
Freyr,Fertility (birth)
Freyr,Battle
Freyr,Royalty
Freyr,Trade
Freyja,Love
Freyja,Beauty
Freyja,Sex
Freyja,War
Freyja,Battle
Freyja,Death
Freyja,Fate
Freyja,Destiny
Freyja,Fertility (birth)
Freyja,Afterlife
Freyja,Heavens
Óðr,Frenzy
Aker,Earth
Aker,Sky
Aker,Air
